evid,time_delay,corr_coef,angle_2d,Pp_2d,Ps_3d,Inclination_3d,angle_3d,Pp_3d
121992,0.015,-0.89,235.1,0.938661971249,0.826864901497,-20.240273767,235.6,0.975791779814
122006,0.235,-0.95,183.0,0.979647287059,0.987829148164,22.1658220104,183.0,0.725761660241
122033,0.155,-0.81,2.5,0.676521817759,0.820420494991,-7.19125595041,182.7,0.906213032035
122047,0.075,0.85,345.4,0.91459494429,0.878952418264,-18.9355241864,345.4,0.49906745629
122049,0.015,-0.94,337.5,0.988184357469,0.883670366928,-12.2103728302,337.5,0.95896144857
122060,0.135,0.96,257.9,0.925725014425,0.953237680255,-3.04562062552,257.9,0.949789739351
122068,0.215,0.78,346.2,0.946961867809,0.96293517839,-10.9917618103,346.2,0.887909968567
122070,0.085,0.83,355.9,0.961606623904,0.938680262792,8.65842469274,355.9,0.96565164703
122073,0.085,0.95,180.5,0.972028493696,0.960307296106,-14.054965804,180.4,0.489841053258
122074,0.025,-0.74,332.7,0.812042837238,0.891593710242,-19.241899032,332.2,0.97992199793
122079,0.015,0.92,329.5,0.928868976673,0.898441655559,6.79415037907,329.6,0.846936681238
122102,0.245,0.75,341.3,0.942284956146,0.956764968565,-18.315086807,341.3,0.458915980832
122103,0.255,0.82,347.1,0.980356163056,0.981054493967,-11.1424120751,347.1,0.451424039544
122119,0.045,0.83,186.1,0.969552505952,0.94939467978,3.98597296972,186.1,0.57510221095
122125,0.02,-0.82,300.0,0.87245901315,0.928958797061,9.14567938123,300.0,0.914054344118
122129,0.065,0.7,216.0,0.834810988599,0.879378050728,4.79135408185,216.0,0.727262496793
122135,0.06,-0.87,292.0,0.984678612476,0.937921903848,-25.9194867357,292.0,0.877336716603
122138,0.22,-0.92,212.9,0.970532054817,0.905619692004,35.6323438716,212.7,0.928682802423
122144,0.275,-0.98,234.2,0.940315278496,0.962105067431,22.2538983087,234.3,0.925334497097
122147,0.04,-0.89,330.3,0.954957120548,0.895282332554,-13.885068513,330.4,0.967155420516
122164,0.1,-0.99,214.6,0.977720459194,0.964698362588,-22.0835953606,214.6,0.872043730556
122180,0.3,-0.79,306.2,0.834380596409,0.919827237775,19.6511626793,306.2,0.972182495597
122186,0.12,0.93,355.9,0.922844055928,0.886476716887,12.1271846975,356.0,0.821803638911
122188,0.25,0.72,319.4,0.825809121478,0.758931413755,11.2422847481,320.2,0.918191360969
122192,0.3,0.9,253.5,0.94350636239,0.972112980946,-25.2463861938,253.5,0.908851236494
122195,0.145,-0.87,241.9,0.964506586901,0.925168791065,-33.3056785772,242.0,0.913532686045
122196,0.22,0.83,240.6,0.947820452469,0.937621430432,-33.8069952449,240.8,0.875425198427
122207,0.035,0.39,262.9,0.848455257055,0.946368717119,-53.0411745269,262.8,0.825141968106
122209,0.045,-0.8,334.2,0.89977852137,0.940623058063,24.3241579929,334.1,0.822907912538
122211,0.26,-0.94,224.9,0.928180807658,0.941509462436,3.64566762389,225.0,0.76965113821
122212,0.17,-0.64,274.8,0.715754275618,0.839791906302,3.82797478678,274.7,0.935925351123
122214,0.0,-0.96,245.7,0.980354097023,0.963238192025,-19.7914712099,245.8,0.86655548157
122220,0.11,-0.86,187.0,0.830178047858,0.909786797607,-5.45599309014,187.0,0.957286112332
122239,0.045,-0.89,201.2,0.961063004681,0.943167052215,3.65443484117,201.2,0.948153204827
122246,0.1,0.83,352.4,0.862488699993,0.767542544169,24.2384929331,351.1,0.884360069579
122247,0.22,0.74,352.3,0.985747934123,0.977463370077,27.5710003599,352.3,0.93696497154
122249,0.135,-0.86,184.5,0.98546887064,0.963004224828,-19.1281276335,184.5,0.8964414991
122250,0.03,0.88,348.3,0.957787098794,0.942703116928,22.0522212078,348.2,0.888929219225
122251,0.02,0.91,348.8,0.716062596428,0.749042702559,-13.1002644062,347.2,0.944165332974
122253,0.275,0.92,207.0,0.921392441663,0.961535028984,-41.0567892656,207.1,0.707777604324
122256,0.21,0.85,185.6,0.876506176347,0.91508438346,-21.7400373193,186.0,0.983236851628
122259,0.21,0.86,334.1,0.942113142277,0.91992537766,27.1948622863,333.9,0.841229307951
122260,0.04,0.7,359.7,0.845936239056,0.898386954833,-26.7699198726,180.3,0.943614973578
122261,0.17,0.89,344.0,0.939241787051,0.913092599654,6.89670374384,343.9,0.847991751863
122264,0.185,0.92,350.2,0.918804479081,0.800682773391,1.4665283387,350.1,0.977420688661
122266,0.145,-0.98,338.3,0.824820684541,0.89112741192,33.936241028,339.3,0.970110820498
122270,0.19,0.84,267.8,0.818593007053,0.879735375268,10.7961318916,268.0,0.831174743219
122273,0.08,0.87,212.7,0.936720117582,0.910327124609,-22.1738383433,212.9,0.878851962591
122275,0.21,0.92,307.2,0.892201270689,0.941542480425,11.4171928062,307.2,0.893544217147
122276,0.275,0.83,191.9,0.935027783566,0.927792548903,-2.13283357531,191.9,0.938700911824
122279,0.04,0.93,352.7,0.987128061646,0.921796498785,10.2562730617,352.7,0.946049822869
122280,0.03,0.94,359.9,0.9664833104,0.940027794801,-32.3611623335,180.0,0.991827073211
122283,0.145,0.91,337.1,0.952573949128,0.86819547691,34.9102702118,337.6,0.93260761145
122284,0.035,0.8,195.5,0.84636471346,0.8733115043,-26.9643523423,196.5,0.960753936695
122287,0.155,-0.72,184.3,0.88944749399,0.926074032279,28.208012708,184.0,0.996826773663
122289,0.03,0.9,349.6,0.948440948808,0.934848033304,17.5539697969,349.6,0.850714115048
122291,0.03,0.89,348.2,0.936791178699,0.943006438197,14.9224618715,348.2,0.825780139842
122296,0.0,0.82,357.3,0.872039215259,0.927720831068,20.1655886973,357.4,0.927825749589
122297,0.295,0.9,208.3,0.838392506571,0.850418957769,16.7115391562,207.6,0.915952282506
122300,0.005,-0.81,289.3,0.953806041807,0.952461125544,-8.88254822051,289.3,0.837292308954
122302,0.14,-0.76,200.6,0.910726047421,0.881843108803,-16.9251122394,200.9,0.951964682133
122303,0.04,0.95,330.7,0.89455778727,0.876285329828,12.931521255,330.9,0.879944771647
122304,0.135,-0.9,197.4,0.97820505658,0.89325287298,-7.48752229361,197.4,0.922881075076
122305,0.035,0.85,324.3,0.895756187106,0.917128122048,-19.4442081305,324.0,0.893349704868
122306,0.245,-0.93,199.1,0.96465622439,0.980721420696,-5.96508802193,199.1,0.972889681986
122307,0.225,0.88,345.2,0.953219609873,0.862594409921,-39.5060874974,344.8,0.901532442424
122308,0.125,-0.92,338.4,0.899018320021,0.876570066635,-17.8281503009,338.0,0.964445611741
122312,0.21,0.9,214.4,0.92764698707,0.947223196732,-31.2802209552,214.4,0.473118258709
122315,0.04,0.92,322.9,0.596099627833,0.829454215156,-54.4570739457,314.4,0.990240453201
122317,0.16,-0.95,329.6,0.82333891626,0.811484116016,15.1331568779,330.4,0.919706938506
122319,0.025,0.87,351.3,0.895444616121,0.91572875871,-5.89439168464,351.3,0.853688678247
122320,0.025,0.93,356.2,0.96675867513,0.939334710197,21.0102077758,356.3,0.965927203336
122321,0.04,0.87,349.1,0.952665162649,0.919101211761,0.803808079177,349.1,0.862899401755
122325,0.205,0.75,194.7,0.828760168132,0.892334818328,-31.8572122917,193.8,0.895771399776
122326,0.025,0.78,352.8,0.92626765625,0.89261961272,13.5453195124,352.9,0.911355992465
122327,0.125,-0.88,244.6,0.989179064512,0.89875235638,-14.5476168013,244.7,0.962952519883
122328,0.285,0.74,245.3,0.634243485984,0.875740077347,-48.6630328405,244.6,0.977509336648
122329,0.09,-0.85,208.9,0.77414036464,0.834746203314,18.3202956249,209.8,0.88469409748
122343,0.02,0.8,349.0,0.976452442074,0.898472650701,1.53188817388,349.0,0.924519716033
122347,0.255,0.88,201.4,0.869763887402,0.86128354333,-4.90539518078,201.6,0.968201493968
122348,0.3,0.86,357.2,0.979520161196,0.918139429113,29.379496148,357.2,0.944218455298
122349,0.025,0.97,338.0,0.889236468963,0.887428758826,6.83077779012,338.1,0.906161565213
122353,0.02,0.89,352.3,0.961891820967,0.935938138606,7.11146825964,352.3,0.816355062153
122354,0.06,0.92,215.3,0.938856652349,0.887960331945,-30.374323075,215.7,0.939927967388
122356,0.155,0.92,351.0,0.914765348441,0.88365759416,-3.6764158802,351.0,0.977055190398
122357,0.08,0.72,244.6,0.968832398698,0.973597959993,-9.33833405678,244.6,0.941677274698
122358,0.02,0.94,343.2,0.718354067803,0.83795792363,-31.9276283338,341.1,0.96586581366
122359,0.075,0.54,303.1,0.976701587249,0.940714719429,-11.8810588157,303.1,0.776733109339
122363,0.055,0.95,207.2,0.90579705564,0.919878071216,-35.429057419,207.6,0.916892946335
122364,0.095,-0.91,205.9,0.76588246661,0.868442144219,18.5708700364,205.3,0.963902260498
122365,0.215,0.92,209.1,0.779186871847,0.868542263019,-0.605635655638,209.1,0.936653992385
122369,0.255,-0.87,327.9,0.866146324087,0.906411993508,5.5867000718,328.0,0.673271132891
122382,0.25,-0.89,323.8,0.891585753037,0.810208623822,-13.5948976715,323.4,0.803905984872
122385,0.25,0.8,190.4,0.824821504366,0.85841552362,-5.21377999255,190.6,0.98003959192
122387,0.04,0.92,214.2,0.992966378321,0.924027202976,-3.31177102605,214.2,0.95154618182
122394,0.045,-0.95,192.3,0.971210849078,0.869415352255,14.4794379717,192.2,0.984820840752
122397,0.13,0.89,344.2,0.895186630731,0.933706269291,27.6653756874,344.1,0.604065554775
122403,0.14,-0.98,355.4,0.930849415195,0.936851110092,12.4078653792,355.3,0.802110398482
122405,0.02,-0.95,207.3,0.931683792701,0.964541749437,33.4979413987,207.2,0.904992361617
122409,0.065,0.95,238.9,0.83385103665,0.912818215346,-26.2755698076,238.6,0.91156593255
122416,0.175,-0.96,359.1,0.906938690923,0.914646322594,28.6569247979,359.6,0.973732444845
122419,0.16,0.9,329.6,0.904154064738,0.945429813831,-27.5622424379,329.7,0.80419016775
122420,0.16,-0.84,213.1,0.925128506784,0.93563150176,-6.05780317214,213.1,0.809415164589
122422,0.275,0.94,258.6,0.944591434487,0.916036915431,-25.7086716071,258.9,0.956697061134
122433,0.045,0.91,286.5,0.916570113419,0.948191840072,-32.4638453281,286.5,0.528973608232
122436,0.085,0.96,191.4,0.768623903159,0.859976331019,-31.1448667769,192.9,0.967669738216
122444,0.23,0.88,329.3,0.890071343655,0.911991452281,15.1860933492,329.1,0.692845749253
122445,0.275,0.74,218.1,0.768241593269,0.8406273081,22.9696698122,219.2,0.899256819884
122447,0.16,-0.87,352.5,0.870071215873,0.881049330283,-9.4945228412,352.3,0.984078259898
122448,0.265,0.74,196.0,0.958491130731,0.911875436753,-38.9790761043,196.3,0.965970620986
122451,0.03,0.95,354.5,0.955214323646,0.961559482272,31.4546334191,354.6,0.8426636017
122452,0.165,-0.79,274.6,0.951867632491,0.93079113716,-0.447892574719,274.6,0.489884529775
122453,0.1,0.98,315.2,0.975377664314,0.958601438844,25.4331141453,315.2,0.636703874832
122455,0.275,-0.83,189.1,0.909590797681,0.951685480833,-50.5991714545,189.1,0.320085567379
122456,0.085,0.94,239.2,0.954186136046,0.967120054162,-10.7858356305,239.2,0.544973051404
122459,0.27,0.95,254.7,0.838462207992,0.898162052829,5.81205144013,254.8,0.919030763054
122470,0.025,0.66,355.2,0.964020098863,0.893663913419,17.0173081032,355.3,0.981500087917
122472,0.005,0.77,330.7,0.936252057833,0.915529554684,2.02140154577,330.7,0.688020394736
122473,0.045,0.99,315.4,0.811251264227,0.877590332948,-16.6702621679,315.0,0.899247513797
122474,0.05,0.98,329.4,0.811692366182,0.864688604637,-5.55952684992,329.3,0.715468746593
122475,0.035,0.93,5.4,0.460542752308,0.745666286911,-43.7277676803,196.4,0.97567817068
122478,0.05,0.97,321.6,0.834054102266,0.873169974936,-11.9228726129,321.2,0.853546921787
122482,0.08,0.96,225.8,0.937299592317,0.954605745235,1.13890397024,225.8,0.557297034396
122483,0.215,0.99,191.2,0.808181243476,0.806632746728,-12.5591439406,192.0,0.97950900704
122484,0.215,0.95,197.5,0.786717442111,0.788038238474,-29.0768416746,200.1,0.9789754998
122485,0.02,0.96,337.5,0.709363840835,0.844122735796,-29.6185264814,336.1,0.932320463475
122487,0.035,0.93,286.7,0.385807239654,0.817681591508,-55.7323673529,287.7,0.947005154385
122488,0.23,0.94,314.7,0.633644361824,0.886205008053,-55.8067827251,311.8,0.989406351289
122492,0.065,-0.73,192.7,0.885030531294,0.924399216297,-11.2616597654,192.9,0.985831314079
122496,0.195,-0.84,188.5,0.801841510218,0.862282320956,1.73248416952,188.4,0.924587872228
122498,0.19,-0.76,360.0,0.719077593149,0.780404915268,-14.3875004034,358.6,0.93799292093
122499,0.015,0.82,348.8,0.954182107944,0.901566210032,-14.806145098,348.7,0.912302157108
122501,0.05,0.99,207.8,0.826761043049,0.888147350216,-19.6808479645,208.2,0.914247662316
122523,0.15,-0.95,224.7,0.926821511009,0.923891428032,3.50413369993,224.7,0.694319770631
122524,0.125,-0.9,191.6,0.986381161051,0.909154027571,-15.9159932488,191.6,0.969293823386
122525,0.19,0.93,217.1,0.920231104554,0.931995661263,-3.68767045291,217.1,0.803992137043
122526,0.135,-0.74,337.9,0.850635138919,0.90585820275,19.3437345214,337.9,0.664478075246
122533,0.02,0.94,237.5,0.770030796104,0.830345892332,10.053375012,237.9,0.804721680807
122534,0.02,0.95,209.2,0.821350370078,0.924348454596,-49.3198157772,210.0,0.878043128716
122535,0.025,0.92,264.8,0.711443974669,0.838341364779,16.8716226375,265.5,0.925065585038
122537,0.055,0.95,303.8,0.711188141044,0.798237458385,1.634213374,304.0,0.978217433282
122540,0.04,0.97,292.7,0.915293466312,0.932265284804,3.19306210822,292.7,0.522938391838
122541,0.02,0.91,253.7,0.844106177317,0.909405717269,-12.320273396,253.7,0.826681248342
122549,0.06,0.93,200.5,0.873330744626,0.946389116296,-49.3929274937,200.4,0.71327241224
122553,0.095,-0.92,182.8,0.971169032033,0.948182038231,33.9239683006,182.7,0.98124986902
122554,0.02,0.9,359.2,0.88923506863,0.882586877528,9.27044915358,359.4,0.959033330087
