plt_num,pickTime,Phase,evid,pickTime_floats,evname,prefor,lat,lon,depth,time,nass,ndef,mb,ms,ml,emodelx,emodely,emodelz,Unknown,UTCtime,orid,etype,dtype,msid,mlid,algorithm,auth,lddate,snr,angle,inclination,Ps,Pp,epi_direction,epi_distance,offset
17533.7159987,2018-01-02 17:11:02.288,P,121890,1514913062288.0,201801021710.0,20579.0,32.9729,35.6076,19.7659, 1/02/2018 (002) 17:10:56.270,12,12,,1.1,,0.150188,0.14345,0.109593,(002),2018-01-02T17:10:56.270000Z,,,,,,,,,1.8728183981609765,132.4,69.55583072748306,0.78,0.49,191.08787565873095,26.921069391941945,-58.687875658730945
17537.8065136,2018-01-06 19:21:22.769,P,121891,1515266482769.0,201801061919.0,20580.0,33.7225,35.661,5.2315, 1/06/2018 (006) 19:21:12.630,17,17,,2.0,1.0,0.283995,0.514213,0.32293,(006),2018-01-06T19:21:12.630000Z,,,,,,,,,6.895748117557171,51.8,66.57142576941015,0.87,0.8,359.804538316405,56.93213568787182,51.995461683594975
17538.0268763,2018-01-07 00:38:42.114,P,121892,1515285522114.0,201801070037.0,20581.0,33.8819,35.3199,17.0023, 1/07/2018 (007)  0:38:28.050,22,22,,2.7,2.9,0.674611,0.685559,0.753014,(007),2018-01-07T00:38:28.050000Z,,,,,,,,,143.0503707073598,344.9,75.51240413617228,0.92,0.77,337.0191729885147,81.14889292352217,7.8808270114853265
17538.091359,2018-01-07 02:11:33.415,P,121893,1515291093415.0,201801070209.0,20582.0,33.6422,35.0819,11.4719, 1/07/2018 (007)  2:11:20.360,21,21,,2.1,2.0,0.328042,0.620596,0.640083,(007),2018-01-07T02:11:20.360000Z,,,,,,,,,102.74359918054665,349.2,77.27260820431198,0.93,0.84,311.8282558116017,72.20405647512648,37.371744188398274
17538.2909113,2018-01-07 06:58:54.737,P,121894,1515308334737.0,201801070657.0,20583.0,33.0657,35.6186,5.0, 1/07/2018 (007)  6:58:51.110,7,7,,1.0,,0.173923,0.129962,0.100476,(007),2018-01-07T06:58:51.110000Z,,,,,,,,,2.868537376986586,258.5,80.34889290350296,0.78,0.73,194.44334313986704,16.625600681011715,64.05665686013297
17541.1318358,2018-01-10 03:09:50.609,P,121896,1515553790609.0,201801100308.0,20585.0,34.6452,33.8597,5.0, 1/10/2018 (010)  3:09:13.870,26,26,,2.8,,0.328476,0.584751,0.815242,(010),2018-01-10T03:09:13.870000Z,,,,,,,,,6.118294687215496,345.0,78.5738428609959,0.9,0.42,314.2951942989155,230.50118676121394,30.704805701084545
17541.8410131,2018-01-10 20:11:03.533,P,121898,1515615063533.0,201801102009.0,20587.0,32.6774,35.1832,19.7604, 1/10/2018 (010) 20:10:50.410,14,14,,1.6,1.4,0.178276,0.14424,0.190609,(010),2018-01-10T20:10:50.410000Z,,,,,,,,,15.190236969543703,170.5,69.50866346704805,0.93,0.49,217.20018736333355,74.29177280852758,-46.70018736333355
17546.3870739,2018-01-15 09:17:23.182,P,121907,1516007843182.0,201801150916.0,20596.0,33.1112,35.6163,11.7266, 1/15/2018 (015)  9:17:19.730,17,17,,1.5,,0.15127,0.214781,0.139022,(015),2018-01-15T09:17:19.730000Z,,,,,,,,,2.7402700276990624,123.1,72.89410595670041,0.95,0.57,201.54414485666246,11.869979167979244,-78.44414485666246
17555.6583262,2018-01-24 15:47:59.378,P,121921,1516808879378.0,201801241546.0,20610.0,34.0838,34.4228,30.0, 1/24/2018 (024) 15:47:38.420,34,34,,2.6,,0.26712,0.457531,0.679353,(024),2018-01-24T15:47:38.420000Z,,,,,,,,,24.54573572535772,324.5,80.21397917996143,0.94,0.63,310.56697431414005,150.36674190503547,13.933025685859969
17556.353294,2018-01-25 08:28:44.596,P,121922,1516868924596.0,201801250827.0,20611.0,33.3802,35.8379,6.9636, 1/25/2018 (025)  8:28:39.630,7,7,,1.6,,0.101549,0.142732,0.180537,(025),2018-01-25T08:28:39.630000Z,,,,,,,,,13.897058228363393,81.8,68.41753768641608,0.9,0.79,40.67957672315526,24.90003755708559,41.12042327684473
17556.8324811,2018-01-25 19:58:46.365,P,121923,1516910326365.0,201801251957.0,20612.0,32.91,35.6775,5.0, 1/25/2018 (025) 19:58:40.020,22,22,,1.9,1.8,0.149659,0.266091,0.308873,(025),2018-01-25T19:58:40.020000Z,,,,,,,,,13.609886721954343,145.1,57.08114427160949,0.93,0.72,177.69620749890046,33.441012329398,-32.596207498900455
17558.6562939,2018-01-27 15:45:03.793,P,121928,1517067903793.0,201801271543.0,20617.0,33.0751,35.6003,13.5364, 1/27/2018 (027) 15:44:59.520,10,10,,1.2,,0.112537,0.0969162,0.140265,(027),2018-01-27T15:44:59.520000Z,,,,,,,,,7.820595335789713,212.3,81.12777165142725,0.93,0.73,201.2410426956297,16.151283998109406,11.058957304370308
17559.5707921,2018-01-28 13:41:56.436,P,121929,1517146916436.0,201801281340.0,20618.0,33.4598,35.7629,20.2699, 1/28/2018 (028) 13:41:50.130,8,8,,1.6,,0.262171,0.181067,0.210229,(028),2018-01-28T13:41:50.130000Z,,,,,,,,,4.996856541603627,64.8,68.20220453713189,0.85,0.45,18.4654302403415,29.23024236537042,46.33456975965849
17560.7235573,2018-01-29 17:21:55.346,P,121930,1517246515346.0,201801291720.0,20619.0,32.8403,35.4065,5.0, 1/29/2018 (029) 17:21:45.870,20,20,,1.7,1.7,0.201966,0.209055,0.105006,(029),2018-01-29T17:21:45.870000Z,,,,,,,,,9.941756308337865,190.3,74.17214862195102,0.96,0.73,210.23292598060934,47.610812985209876,-19.932925980609344
17561.0682587,2018-01-30 01:38:17.551,P,121931,1517276297551.0,201801300136.0,20620.0,33.7685,32.5305,30.0, 1/30/2018 (030)  1:37:36.490,34,34,,2.2,,0.692626,1.12417,0.896815,(030),2018-01-30T01:37:36.490000Z,,,,,,,,,6.666389194992449,230.0,88.28394495057339,0.92,0.81,282.9178036279319,297.04088484310574,-52.91780362793193
17561.6808313,2018-01-30 16:20:23.825,P,121932,1517329223825.0,201801301619.0,20621.0,33.5468,35.7287,5.0, 1/30/2018 (030) 16:20:16.920,16,16,,1.9,,0.178788,0.347449,0.318114,(030),2018-01-30T16:20:16.920000Z,,,,,,,,,11.679347890096594,47.7,63.637033534447596,0.94,0.76,9.233551613143037,37.88769663859599,38.466448386856975
17562.6547572,2018-01-31 15:42:51.023,P,121934,1517413371023.0,201801311541.0,20623.0,32.6047,35.1833,17.8428, 1/31/2018 (031) 15:42:37.070,19,19,,1.7,,0.118879,0.225456,0.211601,(031),2018-01-31T15:42:37.070000Z,,,,,,,,,3.637448288796844,166.2,64.55552606200557,0.86,0.67,213.75176833189653,80.89382418695882,-47.55176833189655
17566.4900378,2018-02-04 11:45:39.260,P,121940,1517744739260.0,201802041144.0,20629.0,33.4445,35.6517,5.0, 2/04/2018 (035) 11:45:34.060,8,8,,1.6,,0.214373,0.247288,0.228868,(035),2018-02-04T11:45:34.060000Z,,,,,,,,,7.009815207062243,15.5,64.79800295161317,0.91,0.68,357.6721362720286,26.041160788667938,17.8278637279714
17567.7872007,2018-02-05 18:53:34.139,P,121944,1517856814139.0,201802051851.0,20633.0,33.2506,35.7227,6.6637, 2/05/2018 (036) 18:53:32.140,11,11,,1.5,,0.0750675,0.093089,0.0800752,(036),2018-02-05T18:53:32.140000Z,,,,,,,,,83.13831685517974,106.7,62.43166924357278,0.94,0.76,51.17211502295167,7.114221175526912,55.52788497704834
17569.1697649,2018-02-07 04:04:27.685,P,121947,1517976267685.0,201802070402.0,20636.0,32.404,36.6997,5.7266, 2/07/2018 (038)  4:04:05.070,18,18,,2.2,1.9,0.540717,0.947892,1.10576,(038),2018-02-07T04:04:05.070000Z,,,,,,,,,2.529299484246814,88.0,61.602085902577436,0.89,0.77,132.50767376875666,132.0133633647501,-44.50767376875667
17570.3891225,2018-02-08 09:20:20.180,P,121950,1518081620180.0,201802080918.0,20639.0,33.688,36.0002,12.0042, 2/08/2018 (039)  9:20:08.740,9,9,,1.7,,0.475598,0.536453,0.414498,(039),2018-02-08T09:20:08.740000Z,,,,,,,,,4.7593285350187156,62.7,68.51141882271186,0.87,0.77,30.407115226514406,61.622116292582355,32.292884773485596
17572.1807381,2018-02-10 04:20:15.769,P,121954,1518236415769.0,201802100418.0,20643.0,31.1028,35.4838,30.0, 2/10/2018 (041)  4:19:42.460,27,27,,2.4,2.3,0.199908,0.455149,0.127608,(041),2018-02-10T04:19:42.460000Z,,,,,,,,,6.999497270221568,143.8,60.05135934198704,0.93,0.23,184.16723691130449,234.97240925391017,-40.36723691130448
17575.1522869,2018-02-13 03:39:17.583,P,121959,1518493157583.0,201802130337.0,20648.0,33.4938,34.4021,30.0, 2/13/2018 (044)  3:38:58.230,15,15,,1.7,,0.319859,0.850953,0.85895,(044),2018-02-13T03:38:58.230000Z,,,,,,,,,3.0066434167539047,125.3,86.78588810192929,0.91,0.5,285.3999940327634,121.28550403762353,-160.09999403276345
17588.6282536,2018-02-26 15:04:41.112,P,121984,1519657481112.0,201802261503.0,20673.0,33.206,35.4928,11.8897, 2/26/2018 (057) 15:04:37.450,24,24,,1.7,1.5,0.107171,0.144398,0.140361,(057),2018-02-26T15:04:37.450000Z,,,,,,,,,18.883308821587693,275.4,81.34291997756607,0.95,0.6,268.23773916255857,15.85178855455135,7.162260837441432
17591.4058449,2018-03-01 09:44:24.994,P,121989,1519897464994.0,201803010942.0,20678.0,33.3312,35.6128,5.5038, 3/01/2018 (060)  9:44:21.850,9,9,,1.1,,0.143813,0.14548,0.153571,(060),2018-03-01T09:44:21.850000Z,,,,,,,,,2.530886002989573,307.1,77.70219680273823,0.76,0.81,340.8040698661803,14.212575414291841,-33.70406986618033
17610.3014424,2018-03-20 07:14:04.617,P,122015,1521530044617.0,201803200712.0,20704.0,33.2634,35.591,5.0, 3/20/2018 (079)  7:14:02.510,11,11,,1.6,,0.0963149,0.141603,0.10241,(079),2018-03-20T07:14:02.510000Z,,,,,,,,,36.38557958359636,328.6,75.99243011443599,0.92,0.9,311.27712670465996,8.91997533535926,17.322873295340028
17612.0958533,2018-03-22 02:18:01.723,P,122021,1521685081723.0,201803220216.0,20710.0,34.3836,33.8404,30.0, 3/22/2018 (081)  2:17:31.560,36,36,,2.2,,0.171917,0.631364,0.93118,(081),2018-03-22T02:17:31.560000Z,,,,,,,,,2.525474304464221,228.2,81.46118515953955,0.91,0.54,308.2613514151398,213.0244755919961,-80.06135141513982
17614.0963064,2018-03-24 02:18:40.874,P,122025,1521857920874.0,201803240216.0,20714.0,34.2855,36.8944,5.0, 3/24/2018 (083)  2:18:13.180,16,16,,2.3,,0.797395,1.38229,0.364956,(083),2018-03-24T02:18:13.180000Z,,,,,,,,,5.320712021073775,62.6,56.71831777305603,0.84,0.35,43.2623775458393,165.0685773909293,19.337622454160698
17617.05445,2018-03-27 01:18:24.478,P,122029,1522113504478.0,201803270117.0,20718.0,34.7012,32.7456,30.0, 3/27/2018 (086)  1:17:41.630,40,40,,2.9,2.7,0.248853,2.0344,2.17006,(086),2018-03-27T01:17:41.630000Z,,,,,,,,,6.617691908689426,345.9,86.22384649827814,0.94,0.91,302.4417360792722,316.02223667366655,43.458263920727816
17622.0123059,2018-04-01 00:17:43.227,P,122045,1522541863227.0,201804010015.0,20734.0,33.2043,35.6974,8.2873, 4/01/2018 (091)  0:17:41.210,10,10,,1.2,,0.0381818,0.0905033,0.260606,(091),2018-04-01T00:17:41.210000Z,,,,,,,,,49.89314049471106,144.1,61.35322553048799,0.9,0.95,102.18134717620009,3.2647577674975783,41.918652823799896
17626.7389088,2018-04-05 17:44:01.721,P,122049,1522950241721.0,201804051743.0,20738.0,33.1069,35.6106,19.2904, 4/05/2018 (095) 17:43:57.430,14,14,,1.2,,0.118942,0.150032,0.114564,(095),2018-04-05T17:43:57.430000Z,,,,,,,,,8.023120308227675,137.7,62.01849024613389,0.91,0.88,203.00276069016053,12.513572322520336,-65.30276069016055
17629.9424306,2018-04-08 22:37:06.001,P,122053,1523227026001.0,201804082235.0,20742.0,34.8034,33.9793,10.8569, 4/08/2018 (098) 22:36:29.430,26,26,,2.2,,0.241124,0.800156,1.08086,(098),2018-04-08T22:36:29.430000Z,,,,,,,,,6.146199212355929,1.0,67.09213114601164,0.84,0.57,319.2406894186972,235.49450101723295,41.75931058130285
17629.9642531,2018-04-08 23:08:31.467,P,122054,1523228911467.0,201804082306.0,20743.0,33.5747,35.0074,12.71, 4/08/2018 (098) 23:08:18.260,12,12,,1.3,,0.377366,0.375706,0.39467,(098),2018-04-08T23:08:18.260000Z,,,,,,,,,6.491528123458385,349.0,81.29646208241371,0.94,0.74,303.814283964258,73.1140920402925,45.185716035742054
17631.5695594,2018-04-10 13:40:09.927,P,122059,1523367609927.0,201804101338.0,20748.0,34.461,32.602,5.6779, 4/10/2018 (100) 13:39:23.550,38,38,,2.6,2.5,0.337992,0.601919,0.528893,(100),2018-04-10T13:39:23.550000Z,,,,,,,,,5.928367518913299,26.2,80.37083525603363,0.86,0.83,297.03486160231597,315.0528977983131,89.16513839768402
17632.1050246,2018-04-11 02:31:14.124,P,122060,1523413874124.0,201804110229.0,20749.0,33.8173,35.1905,21.1326, 4/11/2018 (101)  2:31:00.320,33,33,,2.4,2.4,0.410341,0.409835,0.415869,(101),2018-04-11T02:31:00.320000Z,,,,,,,,,15.89212845238512,7.5,74.13469416407736,0.87,0.68,327.13215351824925,80.45036746825765,40.36784648175077
17633.9038587,2018-04-12 21:41:33.390,P,122061,1523569293390.0,201804122139.0,20750.0,34.1475,35.9939,5.0, 4/12/2018 (102) 21:41:13.910,13,13,,1.8,,0.541017,0.95366,0.679414,(102),2018-04-12T21:41:13.910000Z,,,,,,,,,5.127458622394347,52.5,73.30197069743748,0.86,0.9,16.280552305737185,108.59269413938297,36.21944769426281
17637.4728619,2018-04-16 11:20:55.263,P,122064,1523877655263.0,201804161119.0,20753.0,33.5592,35.7612,5.0, 4/16/2018 (106) 11:20:47.750,10,10,,1.6,1.1,0.195015,0.170636,0.346687,(106),2018-04-16T11:20:47.750000Z,,,,,,,,,3.726316695885554,51.6,64.94032905826941,0.93,0.1,13.19265544221468,39.82910960432139,38.40734455778532
17638.6568947,2018-04-17 15:45:55.697,P,122067,1523979955697.0,201804171544.0,20756.0,34.0552,36.8732,5.0, 4/17/2018 (107) 15:45:30.050,19,19,,3.3,3.4,1.18265,1.24528,1.31431,(107),2018-04-17T15:45:30.050000Z,,,,,,,,,36.87846520485709,89.2,64.20876577724779,0.9,0.99,49.69024732661863,146.1944044859676,39.509752673381364
17639.4040886,2018-04-18 09:41:53.249,P,122068,1524044513249.0,201804180940.0,20757.0,33.1278,35.6484,5.0, 4/18/2018 (108)  9:41:50.900,9,9,,1.5,,0.0584695,0.107195,0.103513,(108),2018-04-18T09:41:50.900000Z,,,,,,,,,4.176576817866287,147.5,62.90985634001426,0.87,0.94,188.46686118682925,9.29705113552737,-40.96686118682924
17640.2381421,2018-04-19 05:42:55.471,P,122070,1524116575471.0,201804190541.0,20759.0,32.9344,35.6358,23.2321, 4/19/2018 (109)  5:42:48.760,17,17,,1.5,,0.24839,0.127457,0.174199,(109),2018-04-19T05:42:48.760000Z,,,,,,,,,9.468911781874763,156.6,64.57661139662036,0.91,0.47,184.74400468991138,30.806124404290504,-28.144004689911373
17641.7113616,2018-04-20 17:04:21.638,P,122073,1524243861638.0,201804201702.0,20762.0,32.9261,35.6293,15.7812, 4/20/2018 (110) 17:04:15.620,21,21,,1.6,,0.214103,0.250098,0.25867,(110),2018-04-20T17:04:15.620000Z,,,,,,,,,12.21056223547092,147.6,61.197489431517944,0.89,0.33,185.6969008470268,31.78029352135661,-38.0969008470268
17642.2643819,2018-04-21 06:20:42.592,P,122074,1524291642592.0,201804210619.0,20763.0,32.6709,35.1943,15.8179, 4/21/2018 (111)  6:20:29.240,24,24,,1.6,1.1,0.152393,0.227509,0.162862,(111),2018-04-21T06:20:29.240000Z,,,,,,,,,10.577113848151793,162.3,72.72837087296382,0.9,0.72,216.22422928459616,74.25579346892935,-53.92422928459617
17644.536035,2018-04-23 12:51:53.418,P,122075,1524487913418.0,201804231250.0,20764.0,34.5558,33.9346,30.0, 4/23/2018 (113) 12:51:22.190,27,27,,2.9,2.6,0.377352,0.672253,0.878667,(113),2018-04-23T12:51:22.190000Z,,,,,,,,,17.09407055602361,347.3,78.08746641394595,0.93,0.54,313.6319807348175,218.70858497950462,33.66801926518251
17644.5406665,2018-04-23 12:58:33.581,P,122076,1524488313581.0,201804231257.0,20765.0,34.5365,33.9178,30.0, 4/23/2018 (113) 12:58:02.380,27,27,,3.6,3.7,0.380598,0.678024,0.656916,(113),2018-04-23T12:58:02.380000Z,,,,,,,,,136.6364357932093,345.2,78.71843474357834,0.93,0.88,312.9442722259728,218.40139912814917,32.25572777402723
17648.9053727,2018-04-27 21:43:44.197,P,122079,1524865424197.0,201804272142.0,20768.0,32.5359,35.5538,21.9825, 4/27/2018 (117) 21:43:30.430,24,24,,1.5,,0.322627,0.384719,0.21935,(117),2018-04-27T21:43:30.430000Z,,,,,,,,,3.7970513078786725,165.1,60.19992402945083,0.89,0.48,187.7788078281172,75.70340159580174,-22.67880782811723
17649.1983048,2018-04-28 04:45:33.535,P,122080,1524890733535.0,201804280443.0,20769.0,31.3252,35.5492,12.3785, 4/28/2018 (118)  4:45:01.270,38,38,,3.2,3.5,0.192871,0.185475,0.380409,(118),2018-04-28T04:45:01.270000Z,,,,,,,,,11.89749752624719,135.6,61.78223312130357,0.94,0.67,182.95492079696064,209.90909750650155,-47.35492079696064
17649.2853484,2018-04-28 06:50:54.098,P,122083,1524898254098.0,201804280649.0,20772.0,31.317,35.5562,12.0348, 4/28/2018 (118)  6:50:21.630,37,37,4.0,3.7,3.8,0.196269,0.142871,0.157353,(118),2018-04-28T06:50:21.630000Z,,,,,,,,,53.965798577909,139.0,60.098917014996765,0.96,0.58,182.76185422433002,210.7873337339749,-43.76185422433002
17649.3022489,2018-04-28 07:15:14.299,P,122084,1524899714299.0,201804280713.0,20773.0,31.3272,35.543,12.6338, 4/28/2018 (118)  7:14:41.960,37,37,,2.8,3.0,0.189682,0.137646,0.375834,(118),2018-04-28T07:14:41.960000Z,,,,,,,,,6.805370816050681,136.0,60.36572184880409,0.85,0.81,183.1187037238078,209.71756468285966,-47.11870372380778
17651.7577668,2018-04-30 18:11:11.045,P,122089,1525111871045.0,201804301810.0,20778.0,33.2094,35.4829,13.742, 4/30/2018 (120) 18:11:06.850,8,8,,1.1,,0.192321,0.236687,0.239365,(120),2018-04-30T18:11:06.850000Z,,,,,,,,,5.572782045395166,192.3,70.751260810335,0.88,0.1,269.6313270087355,16.765057672475027,-77.33132700873551
17653.1745436,2018-05-02 04:11:20.560,P,122090,1525234280560.0,201805020409.0,20779.0,33.1469,35.7125,6.6082, 5/02/2018 (122)  4:11:18.250,6,6,,1.3,,0.0612303,0.0640603,0.10883,(122),2018-05-02T04:11:18.250000Z,,,,,,,,,2.435452979290347,132.0,58.29221996771059,0.94,0.66,146.958679655786,8.43504855800829,-14.958679655786014
17654.8089635,2018-05-03 19:24:54.448,P,122093,1525375494448.0,201805031923.0,20782.0,33.7039,35.8754,5.0, 5/03/2018 (123) 19:24:44.050,20,20,,2.1,,0.464719,0.525712,0.711056,(123),2018-05-03T19:24:44.050000Z,,,,,,,,,9.247858811452394,45.6,69.00393077228527,0.91,0.78,19.68875047125415,58.29150569773288,25.91124952874585
17655.9575688,2018-05-04 22:58:53.940,P,122100,1525474733940.0,201805042257.0,20789.0,34.5188,34.1968,23.9432, 5/04/2018 (124) 22:58:23.990,19,19,,1.8,,0.622241,0.675718,0.889286,(124),2018-05-04T22:58:23.990000Z,,,,,,,,,5.143810591156925,326.3,87.2835134007143,0.91,0.23,317.46403141090974,198.72196682529898,8.835968589090275
17656.2133133,2018-05-05 05:07:10.264,P,122102,1525496830264.0,201805050505.0,20791.0,33.0874,35.6209,15.5278, 5/05/2018 (125)  5:07:06.030,10,10,,1.3,,0.185509,0.234279,0.242846,(125),2018-05-05T05:07:06.030000Z,,,,,,,,,7.3230355844649075,195.1,79.87856768874524,0.95,0.28,196.02602171713073,14.240749975055083,-0.926021717130828
17656.2139948,2018-05-05 05:08:09.145,P,122103,1525496889145.0,201805050506.0,20792.0,33.0627,35.6214,8.6956, 5/05/2018 (125)  5:08:05.020,14,14,,1.2,,0.175465,0.0958724,0.121703,(125),2018-05-05T05:08:05.020000Z,,,,,,,,,7.299828736121309,214.3,81.02092803233097,0.89,0.86,193.30401331292126,16.88703819364456,20.995986687078748
17656.2545416,2018-05-05 06:06:32.389,P,122104,1525500392389.0,201805050604.0,20793.0,34.7311,33.4901,9.7443, 5/05/2018 (125)  6:05:51.750,19,19,,2.0,,0.816919,0.876785,0.873196,(125),2018-05-05T06:05:51.750000Z,,,,,,,,,9.191010329087877,322.6,81.61407852664745,0.92,0.73,310.7601669675085,262.17680963019984,11.839833032491562
17660.2442657,2018-05-09 05:51:44.551,P,122118,1525845104551.0,201805090550.0,20807.0,29.5035,34.7461,5.0, 5/09/2018 (129)  5:51:21.480,6,6,,0.9,,0.253791,0.335549,0.271247,(129),2018-05-09T05:51:21.480000Z,,,,,,,,,4.138132888606708,46.2,57.40550073453959,0.86,0.7,192.16876078448976,421.28913984400475,-145.96876078448975
17660.3964156,2018-05-09 09:30:50.309,P,122119,1525858250309.0,201805090930.0,20808.0,33.7927,35.5532,5.0, 5/09/2018 (129)  9:30:38.060,8,8,,1.5,,0.566865,0.598494,0.156812,(129),2018-05-09T09:30:38.060000Z,,,,,,,,,9.186495092081616,58.0,75.7303805076843,0.91,0.83,351.0849307569146,65.53476495014249,66.91506924308541
17664.0877595,2018-05-13 02:06:22.419,P,122128,1526177182419.0,201805130205.0,20817.0,32.7355,37.4169,5.0, 5/13/2018 (133)  2:05:53.490,13,13,,2.0,,1.29549,1.40155,1.42544,(133),2018-05-13T02:05:53.490000Z,,,,,,,,,4.1648628289322,109.7,64.46638376106965,0.91,0.81,107.4135971698884,171.91401572023494,2.2864028301115464
17666.6010841,2018-05-15 14:25:33.661,P,122131,1526394333661.0,201805151424.0,20820.0,34.7354,36.5769,10.69, 5/15/2018 (135) 14:25:04.090,16,16,,2.7,2.4,0.643383,0.66444,0.719614,(135),2018-05-15T14:25:04.090000Z,,,,,,,,,4.290930723786234,86.1,83.658408886704,0.9,0.7,26.171395620256327,189.34248988601928,59.92860437974366
17667.3404013,2018-05-16 08:10:10.666,P,122138,1526458210666.0,201805160808.0,20827.0,33.0056,35.6248,19.749, 5/16/2018 (136)  8:10:04.960,11,11,,1.4,,0.0576885,0.112357,0.115175,(136),2018-05-16T08:10:04.960000Z,,,,,,,,,6.38619234487918,132.5,62.92865955584249,0.85,0.8,188.90915616086696,23.061420905160908,-56.409156160866964
17667.8806381,2018-05-16 21:08:07.132,P,122140,1526504887132.0,201805162106.0,20829.0,32.1197,36.9258,5.0, 5/16/2018 (136) 21:07:37.650,37,37,,2.7,2.7,0.685208,0.730181,1.32304,(136),2018-05-16T21:07:37.650000Z,,,,,,,,,5.681298476924812,115.4,72.08891223381505,0.95,0.54,135.39736856745992,169.35629572253956,-19.997368567459937
17669.6558441,2018-05-18 15:44:24.927,P,122144,1526658264927.0,201805181542.0,20833.0,33.3442,35.6647,7.2831, 5/18/2018 (138) 15:44:21.670,34,34,,2.1,1.9,0.131992,0.154346,0.164865,(138),2018-05-18T15:44:21.670000Z,,,,,,,,,127.27954593136657,15.1,72.3594621602502,0.92,0.58,0.5727736551456003,14.867505721702546,14.527226344854387
17670.5880882,2018-05-19 14:06:50.822,P,122147,1526738810822.0,201805191405.0,20836.0,33.1889,35.6038,18.5071, 5/19/2018 (139) 14:06:47.320,21,21,,2.0,1.7,0.169026,0.211527,0.28394,(139),2018-05-19T14:06:47.320000Z,,,,,,,,,117.79929903463551,146.3,78.91548075244091,0.95,0.7,246.49246701527,6.017621870874052,-100.19246701527001
17673.4692153,2018-05-22 11:15:40.196,P,122155,1526987740196.0,201805221114.0,20844.0,33.541,35.614,16.362, 5/22/2018 (142) 11:15:33.010,6,6,,1.2,,0.145747,0.20897,0.345872,(142),2018-05-22T11:15:33.010000Z,,,,,,,,,6.329821829884188,28.8,59.98573799587085,0.91,0.47,352.9414061714329,37.031657194888524,35.858593828567116
17673.4699175,2018-05-22 11:16:40.872,P,122156,1526987800872.0,201805221115.0,20845.0,33.5115,35.667,5.0, 5/22/2018 (142) 11:16:33.670,9,9,,1.6,1.3,0.283118,0.322267,0.302209,(142),2018-05-22T11:16:33.670000Z,,,,,,,,,16.4927230220194,31.9,65.85696089405391,0.86,0.77,0.6189486802161487,33.47163269819362,31.281051319783842
17674.9208613,2018-05-23 22:06:02.412,P,122160,1527113162412.0,201805232204.0,20849.0,33.6138,35.0449,30.0, 5/23/2018 (143) 22:05:49.060,13,13,,1.4,,0.110488,0.291464,0.631938,(143),2018-05-23T22:05:49.060000Z,,,,,,,,,5.0838441829042,323.0,79.977903374715,0.91,0.34,308.1790228224548,72.82506523922822,14.820977177545267
17679.1342263,2018-05-28 03:13:17.148,P,122169,1527477197148.0,201805280311.0,20858.0,32.871,35.5849,5.0, 5/28/2018 (148)  3:13:09.080,17,17,,1.8,,0.238097,0.248966,0.247042,(148),2018-05-28T03:13:09.080000Z,,,,,,,,,3.062109679587834,193.0,75.61024211033241,0.86,0.78,190.95002840738402,38.44796946689056,2.049971592616116
17683.0812146,2018-06-01 01:56:56.937,P,122177,1527818216937.0,201806010155.0,20866.0,34.3595,34.6946,30.0, 6/01/2018 (152)  1:56:34.920,26,26,,2.1,1.8,0.652367,0.681694,0.7111,(152),2018-06-01T01:56:34.920000Z,,,,,,,,,3.40085204377442,44.9,75.00078205829593,0.79,0.44,325.2544558799761,155.99380151744904,79.64554412002393
17684.3544497,2018-06-02 08:30:24.453,P,122180,1527928224453.0,201806020828.0,20869.0,32.997,35.5588,5.0, 6/02/2018 (153)  8:30:19.280,27,27,,1.6,1.3,0.15459,0.165735,0.24887,(153),2018-06-02T08:30:19.280000Z,,,,,,,,,5.6783727529105175,145.7,62.042229463291264,0.86,0.77,202.28428715264863,25.65105836721224,-56.58428715264863
17689.5890066,2018-06-07 14:08:10.170,P,122186,1528380490170.0,201806071406.0,20875.0,32.9413,35.622,16.2262, 6/07/2018 (158) 14:08:04.260,26,26,,1.9,1.8,0.217156,0.145805,0.113054,(158),2018-06-07T14:08:04.260000Z,,,,,,,,,23.935054827971555,145.8,62.473502600366054,0.91,0.86,187.3016652220018,30.177640663109194,-41.50166522200179
17689.9913375,2018-06-07 23:47:31.557,P,122188,1528415251557.0,201806072346.0,20877.0,32.6242,35.6212,5.0, 6/07/2018 (158) 23:47:19.550,39,39,,3.0,3.2,0.383743,0.384959,0.399697,(158),2018-06-07T23:47:19.550000Z,,,,,,,,,15.826056600884803,146.7,60.845810089471016,0.93,0.77,183.44456099408725,65.31079410889825,-36.744560994087266
17690.4626982,2018-06-08 11:06:17.122,P,122191,1528455977122.0,201806081104.0,20880.0,32.14,35.5784,5.0, 6/08/2018 (159) 11:05:56.260,30,30,,1.8,,0.081184,0.144323,0.282136,(159),2018-06-08T11:05:56.260000Z,,,,,,,,,2.923744088802476,158.8,59.61612969842885,0.82,0.4,183.83321525993284,119.29785447249506,-25.033215259932835
17690.4648694,2018-06-08 11:09:24.711,P,122192,1528456164711.0,201806081108.0,20881.0,32.1504,35.5646,6.1403, 6/08/2018 (159) 11:09:16.750,33,33,,2.2,2.2,0.126527,0.135105,0.274732,(159),2018-06-08T11:09:16.750000Z,,,,,,,,,8.06898712276502,22.1,65.04548025080094,0.88,0.68,184.4984723971804,118.23765673325276,-162.3984723971804
