plt_num,pickTime,Phase,event
17689.5890046,2018-06-07 14:08:09.995000,P,122186
17689.589055,2018-06-07 14:08:14.349000,S,122186
17689.9912395,2018-06-07 23:47:23.096000,P,122188
17689.9912663,2018-06-07 23:47:25.409000,S,122188
17690.4625991,2018-06-08 11:06:08.562000,P,122191
17690.4627018,2018-06-08 11:06:17.437000,S,122191
17690.4649177,2018-06-08 11:09:28.888000,P,122192
17690.4650215,2018-06-08 11:09:37.855000,S,122192
17691.1036972,2018-06-09 02:29:19.434000,P,122195
17691.1037249,2018-06-09 02:29:21.828000,S,122195
17691.1446732,2018-06-09 03:28:19.765000,P,122196
17691.1447012,2018-06-09 03:28:22.182000,S,122196
17691.6070646,2018-06-09 14:34:10.383000,P,122200
17691.6071674,2018-06-09 14:34:19.261000,S,122200
17691.6784169,2018-06-09 16:16:55.223000,P,122202
17695.1622588,2018-06-13 03:53:39.158000,P,122207
17695.1623365,2018-06-13 03:53:45.871000,S,122207
17695.964176,2018-06-13 23:08:24.807000,P,122209
17696.032072,2018-06-14 00:46:11.019000,P,122210
17696.8902509,2018-06-14 21:21:57.681000,S,122213
17697.4717639,2018-06-15 11:19:20.401000,P,122214
17697.4717957,2018-06-15 11:19:23.150000,S,122214
17697.6657133,2018-06-15 15:58:37.628000,P,122216
17697.6657443,2018-06-15 15:58:40.306000,S,122216
17709.8693039,2018-06-27 20:51:47.859000,P,122239
17709.8693524,2018-06-27 20:51:52.047000,S,122239
17712.7667305,2018-06-30 18:24:05.514000,P,122242
17714.2497571,2018-07-02 05:59:39.012000,P,122246
17714.2497977,2018-07-02 05:59:42.523000,S,122246
17714.2577286,2018-07-02 06:11:07.748000,S,122247
17716.0765171,2018-07-04 01:50:11.075000,P,122249
17716.0765625,2018-07-04 01:50:14.999000,S,122249
17716.0821468,2018-07-04 01:58:17.486000,P,122251
17716.0821934,2018-07-04 01:58:21.505000,S,122251
17716.1180024,2018-07-04 02:49:55.408000,P,122252
17716.1401566,2018-07-04 03:21:49.532000,P,122253
17716.1524462,2018-07-04 03:39:31.350000,P,122254
17716.1524914,2018-07-04 03:39:35.260000,S,122254
17716.1537696,2018-07-04 03:41:25.697000,P,122255
17716.1538094,2018-07-04 03:41:29.129000,S,122255
17716.1611591,2018-07-04 03:52:04.147000,P,122256
17716.1650878,2018-07-04 03:57:43.584000,P,122257
17716.1651325,2018-07-04 03:57:47.450000,S,122257
17716.1726138,2018-07-04 04:08:33.833000,P,122258
17716.172654,2018-07-04 04:08:37.306000,S,122258
17716.1762735,2018-07-04 04:13:50.030000,P,122259
17716.176316,2018-07-04 04:13:53.706000,S,122259
17716.1801142,2018-07-04 04:19:21.865000,P,122260
17716.183122,2018-07-04 04:23:41.738000,P,122261
17716.1831629,2018-07-04 04:23:45.276000,S,122261
17716.1856734,2018-07-04 04:27:22.180000,P,122262
17716.1941827,2018-07-04 04:39:37.387000,P,122264
17716.2115186,2018-07-04 05:04:35.204000,P,122265
17716.2121066,2018-07-04 05:05:26.014000,P,122266
17716.2121489,2018-07-04 05:05:29.662000,S,122266
17716.2168243,2018-07-04 05:12:13.619000,P,122267
17716.2168531,2018-07-04 05:12:16.107000,S,122267
17716.2240913,2018-07-04 05:22:41.489000,P,122268
17716.2302457,2018-07-04 05:31:33.228000,P,122269
17716.2302843,2018-07-04 05:31:36.565000,S,122269
17716.2482224,2018-07-04 05:57:26.414000,P,122270
17716.2482657,2018-07-04 05:57:30.156000,S,122270
17716.2542177,2018-07-04 06:06:04.411000,P,122271
17716.2542517,2018-07-04 06:06:07.345000,S,122271
17716.2552978,2018-07-04 06:07:37.733000,P,122272
17716.2553351,2018-07-04 06:07:40.955000,S,122272
17716.2562672,2018-07-04 06:09:01.483000,P,122273
17716.2617331,2018-07-04 06:16:53.738000,P,122274
17716.2617731,2018-07-04 06:16:57.194000,S,122274
17716.296953,2018-07-04 07:07:36.735000,P,122276
17716.2969935,2018-07-04 07:07:40.242000,S,122276
17716.313007,2018-07-04 07:30:43.807000,P,122277
17716.3130513,2018-07-04 07:30:47.630000,S,122277
17716.3297131,2018-07-04 07:54:47.210000,P,122278
17716.329757,2018-07-04 07:54:51.004000,S,122278
17716.3743009,2018-07-04 08:58:59.599000,P,122279
17716.3743454,2018-07-04 08:59:03.442000,S,122279
17716.3780053,2018-07-04 09:04:19.658000,P,122280
17716.3780481,2018-07-04 09:04:23.351000,S,122280
17716.4527715,2018-07-04 10:51:59.457000,P,122281
17716.4528136,2018-07-04 10:52:03.094000,S,122281
17716.4698539,2018-07-04 11:16:35.374000,P,122282
17716.4698957,2018-07-04 11:16:38.989000,S,122282
17716.4993601,2018-07-04 11:59:04.711000,P,122283
17716.4994057,2018-07-04 11:59:08.651000,S,122283
17716.5202654,2018-07-04 12:29:10.926000,P,122284
17716.520305,2018-07-04 12:29:14.352000,S,122284
17716.7198582,2018-07-04 17:16:35.752000,P,122287
17716.7328034,2018-07-04 17:35:14.216000,P,122289
17716.7328472,2018-07-04 17:35:17.998000,S,122289
17716.75969,2018-07-04 18:13:57.218000,P,122290
17716.7597322,2018-07-04 18:14:00.862000,S,122290
17716.7699383,2018-07-04 18:28:42.671000,P,122291
17716.7757717,2018-07-04 18:37:06.675000,P,122293
17716.7758099,2018-07-04 18:37:09.976000,S,122293
17716.814938,2018-07-04 19:33:30.644000,P,122295
17716.8149812,2018-07-04 19:33:34.373000,S,122295
17716.8274094,2018-07-04 19:51:28.174000,P,122297
17716.8328212,2018-07-04 19:59:15.750000,S,122299
17716.8367971,2018-07-04 20:04:59.266000,P,122300
17716.8368375,2018-07-04 20:05:02.755000,S,122300
17716.8392867,2018-07-04 20:08:34.370000,P,122301
17716.8437642,2018-07-04 20:15:01.226000,P,122302
17716.8500656,2018-07-04 20:24:05.664000,P,122303
17716.85636,2018-07-04 20:33:09.505000,P,122304
17716.8564036,2018-07-04 20:33:13.268000,S,122304
17716.8566415,2018-07-04 20:33:33.829000,P,122305
17716.8566817,2018-07-04 20:33:37.298000,S,122305
17716.8627081,2018-07-04 20:42:17.977000,P,122306
17716.8627447,2018-07-04 20:42:21.144000,S,122306
17716.86347,2018-07-04 20:43:23.807000,P,122307
17716.8655098,2018-07-04 20:46:20.047000,P,122308
17716.865558,2018-07-04 20:46:24.212000,S,122308
17716.8770636,2018-07-04 21:02:58.294000,P,122311
17716.8771009,2018-07-04 21:03:01.520000,S,122311
17716.8814484,2018-07-04 21:09:17.141000,P,122312
17716.8822223,2018-07-04 21:10:24.007000,P,122313
17716.882266,2018-07-04 21:10:27.779000,S,122313
17716.8864073,2018-07-04 21:16:25.593000,P,122314
17716.8868251,2018-07-04 21:17:01.685000,P,122315
17716.8868678,2018-07-04 21:17:05.376000,S,122315
17716.893824,2018-07-04 21:27:06.390000,P,122317
17716.9016653,2018-07-04 21:38:23.881000,P,122319
17716.9016988,2018-07-04 21:38:26.780000,S,122319
17716.9093811,2018-07-04 21:49:30.525000,P,122320
17716.9094284,2018-07-04 21:49:34.617000,S,122320
17716.9114581,2018-07-04 21:52:29.976000,P,122321
17716.9114993,2018-07-04 21:52:33.541000,S,122321
17716.9193877,2018-07-04 22:03:55.099000,P,122322
17716.9266801,2018-07-04 22:14:25.164000,P,122323
17716.9289592,2018-07-04 22:17:42.076000,P,122324
17716.928994,2018-07-04 22:17:45.085000,S,122324
17716.9297722,2018-07-04 22:18:52.319000,P,122325
17716.9298098,2018-07-04 22:18:55.567000,S,122325
17716.9321581,2018-07-04 22:22:18.461000,P,122326
17716.9376127,2018-07-04 22:30:09.738000,P,122327
17716.9376546,2018-07-04 22:30:13.360000,S,122327
17716.9445585,2018-07-04 22:40:09.855000,P,122329
17716.9474133,2018-07-04 22:44:16.510000,P,122330
17716.9501645,2018-07-04 22:48:14.211000,P,122331
17716.9501945,2018-07-04 22:48:16.805000,S,122331
17716.9593722,2018-07-04 23:01:29.760000,P,122332
17716.9609536,2018-07-04 23:03:46.388000,S,122333
17716.9617253,2018-07-04 23:04:53.061000,P,122334
17716.9617649,2018-07-04 23:04:56.491000,S,122334
17716.9763442,2018-07-04 23:25:56.141000,P,122335
17716.9763873,2018-07-04 23:25:59.864000,S,122335
17716.9790337,2018-07-04 23:29:48.511000,P,122336
17717.0085273,2018-07-05 00:12:16.755000,P,122339
17717.0085709,2018-07-05 00:12:20.527000,S,122339
17717.0194791,2018-07-05 00:28:02.990000,P,122340
17717.021075,2018-07-05 00:30:20.876000,P,122341
17717.0211195,2018-07-05 00:30:24.728000,S,122341
17717.0244387,2018-07-05 00:35:11.506000,P,122342
17717.0244819,2018-07-05 00:35:15.236000,S,122342
17717.0268128,2018-07-05 00:38:36.625000,P,122343
17717.0356043,2018-07-05 00:51:16.207000,P,122346
17717.0356451,2018-07-05 00:51:19.733000,S,122346
17717.0378869,2018-07-05 00:54:33.426000,P,122347
17717.0379229,2018-07-05 00:54:36.536000,S,122347
17717.0383056,2018-07-05 00:55:09.603000,P,122348
17717.0383474,2018-07-05 00:55:13.216000,S,122348
17717.0414152,2018-07-05 00:59:38.269000,P,122349
17717.0543398,2018-07-05 01:18:14.961000,P,122350
17717.0549795,2018-07-05 01:19:10.225000,S,122351
17717.0589308,2018-07-05 01:24:51.618000,P,122353
17717.0589731,2018-07-05 01:24:55.276000,S,122353
17717.0639118,2018-07-05 01:32:01.983000,P,122354
17717.0639492,2018-07-05 01:32:05.209000,S,122354
17717.0743772,2018-07-05 01:47:06.186000,S,122356
17717.0923498,2018-07-05 02:12:59.018000,P,122358
17717.0923875,2018-07-05 02:13:02.278000,S,122358
17717.1002655,2018-07-05 02:24:22.938000,P,122360
17717.1246179,2018-07-05 02:59:26.984000,S,122361
17717.1487547,2018-07-05 03:34:12.409000,P,122362
17717.1591352,2018-07-05 03:49:09.277000,P,122363
17717.1591777,2018-07-05 03:49:12.956000,S,122363
17717.1667587,2018-07-05 04:00:07.951000,P,122364
17717.1667952,2018-07-05 04:00:11.101000,S,122364
17717.1805077,2018-07-05 04:19:55.862000,P,122368
17717.1878425,2018-07-05 04:30:29.593000,P,122369
17717.2050412,2018-07-05 04:55:15.556000,P,122370
17717.2050852,2018-07-05 04:55:19.359000,S,122370
17717.2116861,2018-07-05 05:04:49.683000,P,122371
17717.2117288,2018-07-05 05:04:53.371000,S,122371
17717.2301841,2018-07-05 05:31:27.908000,P,122372
17717.2975371,2018-07-05 07:08:27.207000,P,122374
17717.2975816,2018-07-05 07:08:31.051000,S,122374
17717.2999198,2018-07-05 07:11:53.072000,P,122375
17717.2999586,2018-07-05 07:11:56.419000,S,122375
17717.3211621,2018-07-05 07:42:28.407000,P,122377
17717.3212063,2018-07-05 07:42:32.227000,S,122377
17717.3541464,2018-07-05 08:29:58.249000,P,122378
17717.3541868,2018-07-05 08:30:01.735000,S,122378
17717.3564934,2018-07-05 08:33:21.030000,P,122379
17717.3565338,2018-07-05 08:33:24.520000,S,122379
17717.3668153,2018-07-05 08:48:12.845000,P,122380
17717.3692074,2018-07-05 08:51:39.516000,S,122381
17717.377067,2018-07-05 09:02:58.591000,P,122382
17717.3771154,2018-07-05 09:03:02.770000,S,122382
17717.3848477,2018-07-05 09:14:10.840000,P,122383
17717.3848887,2018-07-05 09:14:14.387000,S,122383
17717.3975208,2018-07-05 09:32:25.801000,P,122384
17717.4035112,2018-07-05 09:41:03.370000,P,122385
17717.4035522,2018-07-05 09:41:06.913000,S,122385
17717.4198409,2018-07-05 10:04:34.250000,P,122387
17717.4198811,2018-07-05 10:04:37.726000,S,122387
17717.4315352,2018-07-05 10:21:24.643000,P,122388
17717.4328861,2018-07-05 10:23:21.360000,P,122389
17717.4470557,2018-07-05 10:43:45.611000,P,122391
17717.4470976,2018-07-05 10:43:49.229000,S,122391
17717.4484079,2018-07-05 10:45:42.446000,P,122392
17717.4484478,2018-07-05 10:45:45.893000,S,122392
17717.4698588,2018-07-05 11:16:35.800000,P,122393
17717.6328048,2018-07-05 15:11:14.337000,P,122397
17717.6328463,2018-07-05 15:11:17.922000,S,122397
17717.6338667,2018-07-05 15:12:46.085000,P,122398
17717.6339108,2018-07-05 15:12:49.891000,S,122398
17717.7025694,2018-07-05 16:51:41.998000,P,122400
17717.7026129,2018-07-05 16:51:45.757000,S,122400
17717.7420772,2018-07-05 17:48:35.472000,P,122402
17717.7421185,2018-07-05 17:48:39.038000,S,122402
17717.7704203,2018-07-05 18:29:24.315000,P,122403
17717.7755237,2018-07-05 18:36:45.246000,P,122404
17717.7755661,2018-07-05 18:36:48.913000,S,122404
17717.8222237,2018-07-05 19:44:00.124000,P,122405
17717.8474232,2018-07-05 20:20:17.362000,P,122406
17717.8558763,2018-07-05 20:32:27.709000,P,122407
17717.8619292,2018-07-05 20:41:10.680000,P,122408
17717.864404,2018-07-05 20:44:44.504000,P,122409
17717.8644481,2018-07-05 20:44:48.314000,S,122409
17717.8653872,2018-07-05 20:46:09.454000,P,122410
17717.8654301,2018-07-05 20:46:13.164000,S,122410
17717.8809628,2018-07-05 21:08:35.187000,P,122412
17717.9357883,2018-07-05 22:27:32.106000,P,122413
17717.9358305,2018-07-05 22:27:35.759000,S,122413
17717.9466211,2018-07-05 22:43:08.064000,P,122414
17717.946667,2018-07-05 22:43:12.031000,S,122414
17717.9538492,2018-07-05 22:53:32.568000,P,122415
17717.9727174,2018-07-05 23:20:42.780000,P,122416
17717.9727594,2018-07-05 23:20:46.415000,S,122416
17717.9871662,2018-07-05 23:41:31.162000,P,122417
17717.987208,2018-07-05 23:41:34.771000,S,122417
17717.9931242,2018-07-05 23:50:05.933000,P,122418
17717.9931626,2018-07-05 23:50:09.248000,S,122418
17717.9979335,2018-07-05 23:57:01.454000,P,122419
17718.0230265,2018-07-06 00:33:09.490000,P,122420
17718.0251286,2018-07-06 00:36:11.107000,P,122421
17718.0383604,2018-07-06 00:55:14.334000,P,122422
17718.0401222,2018-07-06 00:57:46.562000,P,122423
17718.0401628,2018-07-06 00:57:50.062000,S,122423
17718.0424643,2018-07-06 01:01:08.914000,P,122425
17718.0425102,2018-07-06 01:01:12.882000,S,122425
17718.0460054,2018-07-06 01:06:14.864000,P,122426
17718.0460619,2018-07-06 01:06:19.745000,S,122426
17718.0574538,2018-07-06 01:22:44.011000,P,122427
17718.0574963,2018-07-06 01:22:47.677000,S,122427
17718.0642382,2018-07-06 01:32:30.179000,P,122429
17718.0642822,2018-07-06 01:32:33.985000,S,122429
17718.0686777,2018-07-06 01:38:53.754000,P,122430
17718.0687154,2018-07-06 01:38:57.007000,S,122430
17718.0701384,2018-07-06 01:40:59.960000,P,122431
17718.0701845,2018-07-06 01:41:03.939000,S,122431
17718.0834542,2018-07-06 02:00:10.441000,P,122432
17718.1035026,2018-07-06 02:29:02.628000,P,122434
17718.1035451,2018-07-06 02:29:06.297000,S,122434
17718.1133441,2018-07-06 02:43:12.927000,P,122435
17718.1283611,2018-07-06 03:04:50.396000,P,122436
17718.1284016,2018-07-06 03:04:53.896000,S,122436
17718.1321551,2018-07-06 03:10:18.201000,P,122437
17718.1517529,2018-07-06 03:38:31.450000,P,122438
17718.1568357,2018-07-06 03:45:50.601000,S,122439
17718.2354019,2018-07-06 05:38:58.722000,P,122444
17718.3572071,2018-07-06 08:34:22.697000,P,122447
17718.3623723,2018-07-06 08:41:48.968000,P,122448
17718.3624126,2018-07-06 08:41:52.452000,S,122448
17718.3888592,2018-07-06 09:19:57.433000,S,122449
17718.4228271,2018-07-06 10:08:52.259000,P,122451
17718.5055464,2018-07-06 12:07:59.205000,P,122454
17718.5055852,2018-07-06 12:08:02.560000,S,122454
17718.5385465,2018-07-06 12:55:30.420000,P,122456
17718.5385895,2018-07-06 12:55:34.136000,S,122456
17718.545339,2018-07-06 13:05:17.290000,S,122457
17718.5594449,2018-07-06 13:25:36.038000,P,122459
17718.5753263,2018-07-06 13:48:28.192000,P,122461
17718.62287,2018-07-06 14:56:55.965000,S,122463
17718.6276294,2018-07-06 15:03:47.183000,P,122464
17718.6485941,2018-07-06 15:33:58.532000,P,122467
17718.7176888,2018-07-06 17:13:28.314000,P,122472
17718.7304389,2018-07-06 17:31:49.919000,P,122474
17718.7708275,2018-07-06 18:29:59.493000,P,122478
17718.7748029,2018-07-06 18:35:42.968000,P,122479
17718.7748432,2018-07-06 18:35:46.449000,S,122479
17718.7789788,2018-07-06 18:41:43.771000,P,122480
17718.8170991,2018-07-06 19:36:37.360000,P,122482
17718.8171412,2018-07-06 19:36:40.999000,S,122482
17718.8332637,2018-07-06 19:59:53.986000,P,122483
17718.8341044,2018-07-06 20:01:06.623000,P,122484
17718.8346965,2018-07-06 20:01:57.779000,P,122485
17718.8477073,2018-07-06 20:20:41.907000,P,122487
17718.8543931,2018-07-06 20:30:19.562000,P,122489
17718.8903931,2018-07-06 21:22:09.964000,P,122491
17718.8904404,2018-07-06 21:22:14.049000,S,122491
17718.900394,2018-07-06 21:36:34.042000,P,122492
17718.9194999,2018-07-06 22:04:04.794000,P,122493
17718.9195424,2018-07-06 22:04:08.460000,S,122493
17718.9310557,2018-07-06 22:20:43.209000,P,122495
17718.9477722,2018-07-06 22:44:47.519000,P,122496
17718.9488462,2018-07-06 22:46:20.310000,P,122497
17718.9488843,2018-07-06 22:46:23.600000,S,122497
17718.9500736,2018-07-06 22:48:06.357000,P,122498
17718.9547565,2018-07-06 22:54:50.965000,P,122499
17718.9651157,2018-07-06 23:09:45.998000,P,122500
17718.9651462,2018-07-06 23:09:48.629000,S,122500
17718.9881943,2018-07-06 23:42:59.985000,P,122501
17719.068227,2018-07-07 01:38:14.815000,P,122504
17719.0682742,2018-07-07 01:38:18.888000,S,122504
17719.0887611,2018-07-07 02:07:48.957000,P,122505
17719.0888004,2018-07-07 02:07:52.357000,S,122505
17719.099332,2018-07-07 02:23:02.283000,P,122506
17719.0993698,2018-07-07 02:23:05.547000,S,122506
17719.1184009,2018-07-07 02:50:29.837000,P,122507
17719.1184384,2018-07-07 02:50:33.076000,S,122507
17719.1249924,2018-07-07 02:59:59.340000,P,122508
17719.1250304,2018-07-07 03:00:02.628000,S,122508
17719.1561485,2018-07-07 03:44:51.227000,S,122509
17719.1639563,2018-07-07 03:56:05.825000,P,122511
17719.1639991,2018-07-07 03:56:09.523000,S,122511
17719.1865947,2018-07-07 04:28:41.781000,P,122512
17719.2758082,2018-07-07 06:37:09.825000,P,122514
17719.2758418,2018-07-07 06:37:12.727000,S,122514
17719.2937663,2018-07-07 07:03:01.409000,S,122515
17719.3472542,2018-07-07 08:20:02.758000,P,122517
17719.3472926,2018-07-07 08:20:06.081000,S,122517
17719.3782258,2018-07-07 09:04:38.707000,P,122519
17719.3782644,2018-07-07 09:04:42.040000,S,122519
17719.4177599,2018-07-07 10:01:34.457000,P,122520
17719.4177979,2018-07-07 10:01:37.740000,S,122520
17719.4448168,2018-07-07 10:40:32.169000,P,122521
17719.4448515,2018-07-07 10:40:35.166000,S,122521
17719.4747282,2018-07-07 11:23:36.512000,P,122522
17719.474763,2018-07-07 11:23:39.524000,S,122522
17719.4906947,2018-07-07 11:46:36.026000,P,122523
17719.4907393,2018-07-07 11:46:39.875000,S,122523
17719.5456205,2018-07-07 13:05:41.610000,P,122524
17719.5456575,2018-07-07 13:05:44.810000,S,122524
17719.5550644,2018-07-07 13:19:17.564000,S,122525
17719.640685,2018-07-07 15:22:35.182000,P,122526
17719.6407256,2018-07-07 15:22:38.691000,S,122526
17719.7240184,2018-07-07 17:22:35.192000,P,122528
17719.7240515,2018-07-07 17:22:38.047000,S,122528
17719.7244278,2018-07-07 17:23:10.559000,P,122529
17719.7244689,2018-07-07 17:23:14.112000,S,122529
17719.7316097,2018-07-07 17:33:31.077000,P,122530
17719.7316489,2018-07-07 17:33:34.468000,S,122530
17719.7368415,2018-07-07 17:41:03.104000,P,122531
17719.7368798,2018-07-07 17:41:06.415000,S,122531
17719.7434368,2018-07-07 17:50:32.938000,P,122532
17719.7434841,2018-07-07 17:50:37.028000,S,122532
17719.7537545,2018-07-07 18:05:24.385000,P,122534
17719.7632676,2018-07-07 18:19:06.324000,P,122536
17719.7697917,2018-07-07 18:28:30.002000,P,122537
17719.7921834,2018-07-07 19:00:44.648000,P,122538
17719.7922253,2018-07-07 19:00:48.262000,S,122538
17719.8468267,2018-07-07 20:19:25.823000,P,122539
17719.8468645,2018-07-07 20:19:29.091000,S,122539
17719.859356,2018-07-07 20:37:28.360000,P,122540
17719.9114329,2018-07-07 21:52:27.798000,P,122542
17719.9114743,2018-07-07 21:52:31.382000,S,122542
17719.9471494,2018-07-07 22:43:53.709000,P,122543
17719.9809499,2018-07-07 23:32:34.069000,P,122545
17719.9809831,2018-07-07 23:32:36.943000,S,122545
17720.0065766,2018-07-08 00:09:28.221000,P,122547
17720.0066185,2018-07-08 00:09:31.836000,S,122547
17720.0466551,2018-07-08 01:07:10.997000,P,122549
17720.0467011,2018-07-08 01:07:14.974000,S,122549
17720.1019259,2018-07-08 02:26:46.399000,S,122550
17720.1143444,2018-07-08 02:44:39.352000,S,122551
17720.3402437,2018-07-08 08:09:57.056000,P,122553
17720.4611762,2018-07-08 11:04:05.626000,P,122554
17720.5272536,2018-07-08 12:39:14.712000,P,122555
17720.536367,2018-07-08 12:52:22.111000,P,122556
17720.5631008,2018-07-08 13:30:51.910000,P,122557
17720.5631399,2018-07-08 13:30:55.285000,S,122557
17720.579157,2018-07-08 13:53:59.162000,P,122558
17720.5791952,2018-07-08 13:54:02.462000,S,122558
17720.598683,2018-07-08 14:22:06.209000,P,122559
17720.5987216,2018-07-08 14:22:09.550000,S,122559
17720.618244,2018-07-08 14:50:16.284000,P,122560
17720.6182825,2018-07-08 14:50:19.605000,S,122560
17720.6192769,2018-07-08 14:51:45.525000,P,122561
17720.6193145,2018-07-08 14:51:48.769000,S,122561
17720.7626012,2018-07-08 18:18:08.744000,P,122562
17720.7756415,2018-07-08 18:36:55.425000,P,122563
17720.7922724,2018-07-08 19:00:52.332000,P,122564
17720.7923114,2018-07-08 19:00:55.700000,S,122564
17720.8367938,2018-07-08 20:04:58.981000,P,122565
17720.8368119,2018-07-08 20:05:00.548000,S,122565
17720.8379164,2018-07-08 20:06:35.980000,P,122566
17720.8379524,2018-07-08 20:06:39.087000,S,122566
17720.8532204,2018-07-08 20:28:38.245000,P,122567
17720.8532563,2018-07-08 20:28:41.348000,S,122567
17720.8616969,2018-07-08 20:40:50.614000,P,122568
17720.8634218,2018-07-08 20:43:19.640000,P,122569
17720.9035797,2018-07-08 21:41:09.285000,P,122570
17720.9036228,2018-07-08 21:41:13.006000,S,122570
17720.9047447,2018-07-08 21:42:49.943000,P,122571
17720.9047836,2018-07-08 21:42:53.301000,S,122571
17720.9135714,2018-07-08 21:55:32.571000,P,122572
17720.9144657,2018-07-08 21:56:49.835000,P,122573
17720.9145047,2018-07-08 21:56:53.206000,S,122573
17720.9992905,2018-07-08 23:58:58.696000,P,122574
17721.0413688,2018-07-09 00:59:34.263000,P,122575
17721.1149073,2018-07-09 02:45:27.988000,P,122576
17721.1149451,2018-07-09 02:45:31.254000,S,122576
17721.222059,2018-07-09 05:19:45.897000,P,122579
17721.2269035,2018-07-09 05:26:44.459000,P,122580
17721.2269493,2018-07-09 05:26:48.420000,S,122580
17721.2399139,2018-07-09 05:45:28.556000,P,122581
17721.2399506,2018-07-09 05:45:31.732000,S,122581
17721.2508854,2018-07-09 06:01:16.498000,P,122582
17721.2509218,2018-07-09 06:01:19.640000,S,122582
17721.2523537,2018-07-09 06:03:23.358000,P,122583
17721.2523909,2018-07-09 06:03:26.572000,S,122583
